benchmark_id,reviewer_1,reviewer_1_module,reviewer_1_intent,reviewer_1_accept,reviewer_2,reviewer_2_module,reviewer_2_intent,reviewer_2_accept,adjudicator,final_module,final_intent,final_status,notes
BENCH-0001,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0002,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0003,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0004,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0005,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0006,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0007,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0008,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0009,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0010,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0011,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0012,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0013,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0014,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0015,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0016,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0017,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0018,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0019,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0020,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
