collection_id,provenance,service_type,field_name,document_1_type,document_1_value,document_2_type,document_2_value,expected_action,review_status,notes
MIS-0001,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 1,supporting_test_record,Test Value B 1,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0002,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 2,supporting_test_record,Test Value B 2,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0003,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 3,supporting_test_record,Test Value B 3,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0004,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 4,supporting_test_record,Test Value B 4,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0005,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 5,supporting_test_record,Test Value B 5,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0006,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 6,supporting_test_record,Test Value B 6,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0007,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 7,supporting_test_record,Test Value B 7,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0008,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 8,supporting_test_record,Test Value B 8,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0009,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 9,supporting_test_record,Test Value B 9,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0010,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 10,supporting_test_record,Test Value B 10,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
