collection_id,provenance,message,language,expected_module,expected_intent,predicted_intent,reply,prediction_correct,reply_safe_and_useful,accepted_for_training,source_session_id,notes
WA-0001,field_collected_scripted,mera bhai TEST-FIR [FIR] section 302 me 2 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 2 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,6a53598b-5c09-4717-9791-0b99b16b1a58,
WA-0002,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0003,field_collected_scripted,mera bhai TEST-FIR [FIR] section 379 me 4 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused appears eligible for bail under BNSS Section 478. Reason: Bailable offence — bail is a right. Your bail application PDF is ready. Please download and give to your advocate.,pending_review,pending_review,no,014f76ab-7335-4e79-ae3c-f44542dea2fd,
WA-0004,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0005,field_collected_scripted,mera bhai TEST-FIR [FIR] section 498A me 8 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 8 months. Need 12 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,369138b4-07c2-4b07-996b-311d373ec2b4,
WA-0006,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0007,field_collected_scripted,mera bhai TEST-FIR [FIR] section 302 me 3 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 3 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,2f868041-2cd2-47dc-9381-ebf65e04a96f,
WA-0008,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0010,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0011,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0012,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0013,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0014,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
