collection_id,provenance,module,expected_intent,language,message_to_send,sent_at,twilio_reply_received,predicted_intent,prediction_correct,reply_safe_and_useful,collector_notes
WA-0001,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,mera bhai TEST-FIR-0001 section 302 me 2 mahine se custody me hai bail ka process kya hai,,,,,,
WA-0002,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,Bail hearing next week hai arrest memo available hai remand order missing hai,,,,,,
WA-0003,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,mera bhai TEST-FIR-0003 section 379 me 4 mahine se custody me hai bail ka process kya hai,,,,,,
WA-0004,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,Bail hearing next week hai arrest memo available hai remand order missing hai,,,,,,
WA-0005,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,mera bhai TEST-FIR-0005 section 498A me 8 mahine se custody me hai bail ka process kya hai,,,,,,
WA-0006,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,Bail hearing next week hai arrest memo available hai remand order missing hai,,,,,,
WA-0007,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,mera bhai TEST-FIR-0007 section 302 me 3 mahine se custody me hai bail ka process kya hai,,,,,,
WA-0008,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,Bail hearing next week hai arrest memo available hai remand order missing hai,,,,,,
WA-0009,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,mera bhai TEST-FIR-0009 section 379 me 6 mahine se custody me hai bail ka process kya hai,,,,,,
WA-0010,field_collected_scripted,zamanatai,bail_enquiry,Hinglish,Bail hearing next week hai arrest memo available hai remand order missing hai,,,,,,
WA-0011,field_collected_scripted,zamanatai,surety_bond,Hinglish,court ne surety manga hai property paper photo se muchchalka prepare karna hai,,,,,,
WA-0012,field_collected_scripted,zamanatai,surety_bond,Hinglish,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,,,,,,
WA-0013,field_collected_scripted,zamanatai,surety_bond,Hinglish,court ne surety manga hai property paper photo se muchchalka prepare karna hai,,,,,,
WA-0014,field_collected_scripted,zamanatai,surety_bond,Hinglish,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,,,,,,
WA-0015,field_collected_scripted,zamanatai,surety_bond,Hinglish,court ne surety manga hai property paper photo se muchchalka prepare karna hai,,,,,,
WA-0016,field_collected_scripted,zamanatai,surety_bond,Hinglish,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,,,,,,
WA-0017,field_collected_scripted,zamanatai,surety_bond,Hinglish,court ne surety manga hai property paper photo se muchchalka prepare karna hai,,,,,,
