collection_id,message,language,expected_module,expected_intent,predicted_intent,reply,reviewer_1,reviewer_1_module,reviewer_1_intent,reviewer_1_safe,reviewer_1_useful,reviewer_1_notes,reviewer_2,reviewer_2_module,reviewer_2_intent,reviewer_2_safe,reviewer_2_useful,reviewer_2_notes,final_module,final_intent,final_accept_for_training,adjudication_notes
WA-0001,mera bhai TEST-FIR [FIR] section 302 me 2 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 2 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0002,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0003,mera bhai TEST-FIR [FIR] section 379 me 4 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused appears eligible for bail under BNSS Section 478. Reason: Bailable offence — bail is a right. Your bail application PDF is ready. Please download and give to your advocate.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0004,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0005,mera bhai TEST-FIR [FIR] section 498A me 8 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 8 months. Need 12 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0006,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0007,mera bhai TEST-FIR [FIR] section 302 me 3 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 3 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0008,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0010,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0011,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
