sample_id,split,task_type,instruction,input,output,language_code,language_name,region,is_low_resource_language,jurisdiction,legal_domain,intent,urgency,output_doc_type,evidence_items,missing_information,feedback_rating,feedback_type,feedback_comment,correction_applied,correction_field,before_prediction,after_correction,confidence_before,confidence_after,quality_score,quality_band,pii_redacted,human_review_status,adaption_track_credit
NYAYA-GOLD-000001,validation,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",Need bail for FIR [FIR] section 420 for 3 months accused [NAME],"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",en,English,National/Global,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000002,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",Need surety bond,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",en,English,National/Global,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000009,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",मेरे भाई को जमानत चाहिए FIR [FIR] section 379,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000010,test,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.","मेरे भाई को FIR [FIR] में धारा 420 में 3 महीने से जेल में रखा है, जमानत चाहिए","Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000011,validation,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",live demo section 379 FIR [FIR] bail needed,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",en,English,National/Global,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000012,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",case date kab hai FIR [FIR],"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,3,partial_answer,Reviewer marked this as partial answer for adaptive improvement.,yes,missing_information,generic answer,specific checklist and next steps,0.7,0.92,0.91,silver,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000014,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",amar bhai FIR [FIR] section 420 bail chai,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",en,English,National/Global,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,2,missing_information,Reviewer marked this as missing information for adaptive improvement.,yes,entities,incomplete,bail_enquiry,0.52,0.96,0.91,silver,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000015,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",mera bhai jail mein hai section 302,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,case_status with generic response,case_status with complete evidence checklist,0.82,0.97,0.97,gold,yes,real_seed_normalized,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000016,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",mera bhai section 302 FIR FIR240016 me 1 mahine se custody me hai bail possible hai kya kripya simple language me batao,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,5,excellent_response,Reviewer marked this as excellent response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000017,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",meri behen jail me hai section 376 FIR FIR240017 police station Hazratganj bail application chahiye; family needs urgent next steps,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
