collection_id,provenance,ambiguity_type,message,expected_primary_intent,acceptable_secondary_intent,reviewer_1,reviewer_2,adjudication
ADV-0001,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 1.,,,,,
ADV-0002,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 2.,,,,,
ADV-0003,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 3.,,,,,
ADV-0004,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 4.,,,,,
ADV-0005,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 5.,,,,,
ADV-0006,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 6.,,,,,
ADV-0007,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 7.,,,,,
ADV-0008,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 8.,,,,,
ADV-0009,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 9.,,,,,
ADV-0010,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 10.,,,,,
ADV-0011,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 11.,,,,,
ADV-0012,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 12.,,,,,
ADV-0013,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 13.,,,,,
ADV-0014,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 14.,,,,,
ADV-0015,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 15.,,,,,
ADV-0016,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 16.,,,,,
ADV-0017,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 17.,,,,,
ADV-0018,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 18.,,,,,
ADV-0019,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 19.,,,,,
ADV-0020,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 20.,,,,,
ADV-0021,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 21.,,,,,
ADV-0022,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 22.,,,,,
ADV-0023,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 23.,,,,,
ADV-0024,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 24.,,,,,
ADV-0025,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 25.,,,,,
ADV-0026,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 26.,,,,,
ADV-0027,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 27.,,,,,
ADV-0028,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 28.,,,,,
ADV-0029,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 29.,,,,,
ADV-0030,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 30.,,,,,
ADV-0031,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 31.,,,,,
ADV-0032,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 32.,,,,,
ADV-0033,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 33.,,,,,
ADV-0034,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 34.,,,,,
ADV-0035,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 35.,,,,,
ADV-0036,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 36.,,,,,
ADV-0037,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 37.,,,,,
ADV-0038,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 38.,,,,,
ADV-0039,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 39.,,,,,
ADV-0040,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 40.,,,,,
ADV-0041,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 41.,,,,,
ADV-0042,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 42.,,,,,
ADV-0043,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 43.,,,,,
ADV-0044,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 44.,,,,,
ADV-0045,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 45.,,,,,
ADV-0046,adversarial_case,legal_aid_or_civic,income certificate nahi hai isliye free lawyer application kaise complete hoga. Ambiguous test 46.,,,,,
ADV-0047,adversarial_case,tenant_or_violence,landlord ghar khali karne ke liye threats de raha hai aur family unsafe feel kar rahi hai. Ambiguous test 47.,,,,,
ADV-0048,adversarial_case,cyber_or_consumer,online seller ne fake payment link bheja aur refund bhi deny kar diya. Ambiguous test 48.,,,,,
ADV-0049,adversarial_case,ocr_or_mismatch,Aadhaar photo blur hai aur school record me surname alag hai form fill kar do. Ambiguous test 49.,,,,,
ADV-0050,adversarial_case,bail_or_status,FIR ka status bhi chahiye aur batao bail kab file hogi. Ambiguous test 50.,,,,,
